(at time 1, process idx=0 , remaining cpu-burst=15) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1191, process idx=1 , remaining cpu-burst=16) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=4)]
(at time 1192, process idx=1 , remaining cpu-burst=15) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=3)]
(at time 1193, process idx=1 , remaining cpu-burst=14) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=2)]
(at time 1194, process idx=1 , remaining cpu-burst=13) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=1)]
(at time 1195, process idx=1 , remaining cpu-burst=12) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1196, process idx=1 , remaining cpu-burst=11) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1197, process idx=1 , remaining cpu-burst=10) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1198, process idx=1 , remaining cpu-burst=9) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1199, process idx=1 , remaining cpu-burst=8) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1200, process idx=1 , remaining cpu-burst=7) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1201, process idx=1 , remaining cpu-burst=6) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1202, process idx=1 , remaining cpu-burst=5) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1203, process idx=1 , remaining cpu-burst=4) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1204, process idx=1 , remaining cpu-burst=3) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1205, process idx=1 , remaining cpu-burst=2) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1206, process idx=1 , remaining cpu-burst=1) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1207, process idx=2 , remaining cpu-burst=5) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=9)]
(at time 1208, process idx=2 , remaining cpu-burst=4) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=8)]
(at time 1209, process idx=2 , remaining cpu-burst=3) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=7)]
(at time 1210, process idx=2 , remaining cpu-burst=2) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=6)]
(at time 1211, process idx=2 , remaining cpu-burst=1) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=5)]
(at time 1212, process idx=3 , remaining cpu-burst=15) run-queue [4 5 6 7 8 9 0], wait-queue [1(io=4) 2(io=12)]
(at time 1213, process idx=3 , remaining cpu-burst=14) run-queue [4 5 6 7 8 9 0], wait-queue [1(io=3) 2(io=11)]
(at time 1214, process idx=3 , remaining cpu-burst=13) run-queue [4 5 6 7 8 9 0], wait-queue [1(io=2) 2(io=10)]
(at time 1215, process idx=3 , remaining cpu-burst=12) run-queue [4 5 6 7 8 9 0], wait-queue [1(io=1) 2(io=9)]
(at time 1216, process idx=3 , remaining cpu-burst=11) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=8)]
(at time 1217, process idx=3 , remaining cpu-burst=10) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=7)]
(at time 1218, process idx=3 , remaining cpu-burst=9) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=6)]
(at time 1219, process idx=3 , remaining cpu-burst=8) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=5)]
(at time 1220, process idx=3 , remaining cpu-burst=7) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=4)]
(at time 1221, process idx=3 , remaining cpu-burst=6) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=3)]
(at time 1222, process idx=3 , remaining cpu-burst=5) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=2)]
(at time 1223, process idx=3 , remaining cpu-burst=4) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=1)]
(at time 1224, process idx=3 , remaining cpu-burst=3) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1225, process idx=3 , remaining cpu-burst=2) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1226, process idx=3 , remaining cpu-burst=1) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1227, process idx=4 , remaining cpu-burst=14) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=13)]
(at time 1228, process idx=4 , remaining cpu-burst=13) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=12)]
(at time 1229, process idx=4 , remaining cpu-burst=12) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=11)]
(at time 1230, process idx=4 , remaining cpu-burst=11) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=10)]
(at time 1231, process idx=4 , remaining cpu-burst=10) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=9)]
(at time 1232, process idx=4 , remaining cpu-burst=9) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=8)]
(at time 1233, process idx=4 , remaining cpu-burst=8) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=7)]
(at time 1234, process idx=4 , remaining cpu-burst=7) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=6)]
(at time 1235, process idx=4 , remaining cpu-burst=6) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=5)]
(at time 1236, process idx=4 , remaining cpu-burst=5) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=4)]
(at time 1237, process idx=4 , remaining cpu-burst=4) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=3)]
(at time 1238, process idx=4 , remaining cpu-burst=3) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=2)]
(at time 1239, process idx=4 , remaining cpu-burst=2) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=1)]
(at time 1240, process idx=4 , remaining cpu-burst=1) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 1241, process idx=5 , remaining cpu-burst=13) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=12)]
(at time 1242, process idx=5 , remaining cpu-burst=12) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=11)]
(at time 1243, process idx=5 , remaining cpu-burst=11) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=10)]
(at time 1244, process idx=5 , remaining cpu-burst=10) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=9)]
(at time 1245, process idx=5 , remaining cpu-burst=9) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=8)]
(at time 1246, process idx=5 , remaining cpu-burst=8) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=7)]
(at time 1247, process idx=5 , remaining cpu-burst=7) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=6)]
(at time 1248, process idx=5 , remaining cpu-burst=6) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=5)]
(at time 1249, process idx=5 , remaining cpu-burst=5) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=4)]
(at time 1250, process idx=5 , remaining cpu-burst=4) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=3)]
(at time 1251, process idx=5 , remaining cpu-burst=3) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=2)]
(at time 1252, process idx=5 , remaining cpu-burst=2) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=1)]
(at time 1253, process idx=5 , remaining cpu-burst=1) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1254, process idx=6 , remaining cpu-burst=18) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=4)]
(at time 1255, process idx=6 , remaining cpu-burst=17) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=3)]
(at time 1256, process idx=6 , remaining cpu-burst=16) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=2)]
(at time 1257, process idx=6 , remaining cpu-burst=15) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=1)]
(at time 1258, process idx=6 , remaining cpu-burst=14) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1259, process idx=6 , remaining cpu-burst=13) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1260, process idx=6 , remaining cpu-burst=12) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1261, process idx=6 , remaining cpu-burst=11) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1262, process idx=6 , remaining cpu-burst=10) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1263, process idx=6 , remaining cpu-burst=9) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1264, process idx=6 , remaining cpu-burst=8) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1265, process idx=6 , remaining cpu-burst=7) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1266, process idx=6 , remaining cpu-burst=6) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1267, process idx=6 , remaining cpu-burst=5) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1268, process idx=6 , remaining cpu-burst=4) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1269, process idx=6 , remaining cpu-burst=3) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1270, process idx=6 , remaining cpu-burst=2) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1271, process idx=6 , remaining cpu-burst=1) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1272, process idx=7 , remaining cpu-burst=12) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=14)]
(at time 1273, process idx=7 , remaining cpu-burst=11) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=13)]
(at time 1274, process idx=7 , remaining cpu-burst=10) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=12)]
(at time 1275, process idx=7 , remaining cpu-burst=9) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=11)]
(at time 1276, process idx=7 , remaining cpu-burst=8) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=10)]
(at time 1277, process idx=7 , remaining cpu-burst=7) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=9)]
(at time 1278, process idx=7 , remaining cpu-burst=6) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=8)]
(at time 1279, process idx=7 , remaining cpu-burst=5) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=7)]
(at time 1280, process idx=7 , remaining cpu-burst=4) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=6)]
(at time 1281, process idx=7 , remaining cpu-burst=3) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=5)]
(at time 1282, process idx=7 , remaining cpu-burst=2) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=4)]
(at time 1283, process idx=7 , remaining cpu-burst=1) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=3)]
(at time 1284, process idx=8 , remaining cpu-burst=9) run-queue [9 0 1 2 3 4 5], wait-queue [6(io=2) 7(io=13)]
(at time 1285, process idx=8 , remaining cpu-burst=8) run-queue [9 0 1 2 3 4 5], wait-queue [6(io=1) 7(io=12)]
(at time 1286, process idx=8 , remaining cpu-burst=7) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=11)]
(at time 1287, process idx=8 , remaining cpu-burst=6) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=10)]
(at time 1288, process idx=8 , remaining cpu-burst=5) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=9)]
(at time 1289, process idx=8 , remaining cpu-burst=4) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=8)]
(at time 1290, process idx=8 , remaining cpu-burst=3) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=7)]
(at time 1291, process idx=8 , remaining cpu-burst=2) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=6)]
(at time 1292, process idx=8 , remaining cpu-burst=1) run-queue [9 0 1 2 3 4 5 6], wait-queue [7(io=5)]
(at time 1293, process idx=9 , remaining cpu-burst=8) run-queue [0 1 2 3 4 5 6], wait-queue [7(io=4) 8(io=7)]
(at time 1294, process idx=9 , remaining cpu-burst=7) run-queue [0 1 2 3 4 5 6], wait-queue [7(io=3) 8(io=6)]
(at time 1295, process idx=9 , remaining cpu-burst=6) run-queue [0 1 2 3 4 5 6], wait-queue [7(io=2) 8(io=5)]
(at time 1296, process idx=9 , remaining cpu-burst=5) run-queue [0 1 2 3 4 5 6], wait-queue [7(io=1) 8(io=4)]
(at time 1297, process idx=9 , remaining cpu-burst=4) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=3)]
(at time 1298, process idx=9 , remaining cpu-burst=3) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=2)]
(at time 1299, process idx=9 , remaining cpu-burst=2) run-queue [0 1 2 3 4 5 6 7], wait-queue [8(io=1)]
(at time 1300, process idx=9 , remaining cpu-burst=1) run-queue [0 1 2 3 4 5 6 7 8], wait-queue []
(at time 1301, process idx=0 , remaining cpu-burst=18) run-queue [1 2 3 4 5 6 7 8], wait-queue [9(io=4)]
(at time 1302, process idx=0 , remaining cpu-burst=17) run-queue [1 2 3 4 5 6 7 8], wait-queue [9(io=3)]
(at time 1303, process idx=0 , remaining cpu-burst=16) run-queue [1 2 3 4 5 6 7 8], wait-queue [9(io=2)]
(at time 1304, process idx=0 , remaining cpu-burst=15) run-queue [1 2 3 4 5 6 7 8], wait-queue [9(io=1)]
(at time 1305, process idx=0 , remaining cpu-burst=14) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1306, process idx=0 , remaining cpu-burst=13) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1307, process idx=0 , remaining cpu-burst=12) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1308, process idx=0 , remaining cpu-burst=11) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1309, process idx=0 , remaining cpu-burst=10) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1310, process idx=0 , remaining cpu-burst=9) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1311, process idx=0 , remaining cpu-burst=8) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1312, process idx=0 , remaining cpu-burst=7) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1313, process idx=0 , remaining cpu-burst=6) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1314, process idx=0 , remaining cpu-burst=5) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1315, process idx=0 , remaining cpu-burst=4) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1316, process idx=0 , remaining cpu-burst=3) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1317, process idx=0 , remaining cpu-burst=2) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1318, process idx=0 , remaining cpu-burst=1) run-queue [1 2 3 4 5 6 7 8 9], wait-queue []
(at time 1319, process idx=1 , remaining cpu-burst=16) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=12)]
(at time 1320, process idx=1 , remaining cpu-burst=15) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=11)]
(at time 1321, process idx=1 , remaining cpu-burst=14) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=10)]
(at time 1322, process idx=1 , remaining cpu-burst=13) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=9)]
(at time 1323, process idx=1 , remaining cpu-burst=12) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=8)]
(at time 1324, process idx=1 , remaining cpu-burst=11) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=7)]
(at time 1325, process idx=1 , remaining cpu-burst=10) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=6)]
(at time 1326, process idx=1 , remaining cpu-burst=9) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=5)]
(at time 1327, process idx=1 , remaining cpu-burst=8) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=4)]
(at time 1328, process idx=1 , remaining cpu-burst=7) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=3)]
(at time 1329, process idx=1 , remaining cpu-burst=6) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=2)]
(at time 1330, process idx=1 , remaining cpu-burst=5) run-queue [2 3 4 5 6 7 8 9], wait-queue [0(io=1)]
(at time 1331, process idx=1 , remaining cpu-burst=4) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1332, process idx=1 , remaining cpu-burst=3) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1333, process idx=1 , remaining cpu-burst=2) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1334, process idx=1 , remaining cpu-burst=1) run-queue [2 3 4 5 6 7 8 9 0], wait-queue []
(at time 1335, process idx=2 , remaining cpu-burst=19) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=6)]
(at time 1336, process idx=2 , remaining cpu-burst=18) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=5)]
(at time 1337, process idx=2 , remaining cpu-burst=17) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=4)]
(at time 1338, process idx=2 , remaining cpu-burst=16) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=3)]
(at time 1339, process idx=2 , remaining cpu-burst=15) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=2)]
(at time 1340, process idx=2 , remaining cpu-burst=14) run-queue [3 4 5 6 7 8 9 0], wait-queue [1(io=1)]
(at time 1341, process idx=2 , remaining cpu-burst=13) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1342, process idx=2 , remaining cpu-burst=12) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1343, process idx=2 , remaining cpu-burst=11) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1344, process idx=2 , remaining cpu-burst=10) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1345, process idx=2 , remaining cpu-burst=9) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1346, process idx=2 , remaining cpu-burst=8) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1347, process idx=2 , remaining cpu-burst=7) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1348, process idx=2 , remaining cpu-burst=6) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1349, process idx=2 , remaining cpu-burst=5) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1350, process idx=2 , remaining cpu-burst=4) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1351, process idx=2 , remaining cpu-burst=3) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1352, process idx=2 , remaining cpu-burst=2) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1353, process idx=2 , remaining cpu-burst=1) run-queue [3 4 5 6 7 8 9 0 1], wait-queue []
(at time 1354, process idx=3 , remaining cpu-burst=17) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=11)]
(at time 1355, process idx=3 , remaining cpu-burst=16) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=10)]
(at time 1356, process idx=3 , remaining cpu-burst=15) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=9)]
(at time 1357, process idx=3 , remaining cpu-burst=14) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=8)]
(at time 1358, process idx=3 , remaining cpu-burst=13) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=7)]
(at time 1359, process idx=3 , remaining cpu-burst=12) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=6)]
(at time 1360, process idx=3 , remaining cpu-burst=11) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=5)]
(at time 1361, process idx=3 , remaining cpu-burst=10) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=4)]
(at time 1362, process idx=3 , remaining cpu-burst=9) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=3)]
(at time 1363, process idx=3 , remaining cpu-burst=8) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=2)]
(at time 1364, process idx=3 , remaining cpu-burst=7) run-queue [4 5 6 7 8 9 0 1], wait-queue [2(io=1)]
(at time 1365, process idx=3 , remaining cpu-burst=6) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1366, process idx=3 , remaining cpu-burst=5) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1367, process idx=3 , remaining cpu-burst=4) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1368, process idx=3 , remaining cpu-burst=3) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1369, process idx=3 , remaining cpu-burst=2) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1370, process idx=3 , remaining cpu-burst=1) run-queue [4 5 6 7 8 9 0 1 2], wait-queue []
(at time 1371, process idx=4 , remaining cpu-burst=12) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=9)]
(at time 1372, process idx=4 , remaining cpu-burst=11) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=8)]
(at time 1373, process idx=4 , remaining cpu-burst=10) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=7)]
(at time 1374, process idx=4 , remaining cpu-burst=9) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=6)]
(at time 1375, process idx=4 , remaining cpu-burst=8) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=5)]
(at time 1376, process idx=4 , remaining cpu-burst=7) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=4)]
(at time 1377, process idx=4 , remaining cpu-burst=6) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=3)]
(at time 1378, process idx=4 , remaining cpu-burst=5) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=2)]
(at time 1379, process idx=4 , remaining cpu-burst=4) run-queue [5 6 7 8 9 0 1 2], wait-queue [3(io=1)]
(at time 1380, process idx=4 , remaining cpu-burst=3) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 1381, process idx=4 , remaining cpu-burst=2) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 1382, process idx=4 , remaining cpu-burst=1) run-queue [5 6 7 8 9 0 1 2 3], wait-queue []
(at time 1383, process idx=5 , remaining cpu-burst=11) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=4)]
(at time 1384, process idx=5 , remaining cpu-burst=10) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=3)]
(at time 1385, process idx=5 , remaining cpu-burst=9) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=2)]
(at time 1386, process idx=5 , remaining cpu-burst=8) run-queue [6 7 8 9 0 1 2 3], wait-queue [4(io=1)]
(at time 1387, process idx=5 , remaining cpu-burst=7) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1388, process idx=5 , remaining cpu-burst=6) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1389, process idx=5 , remaining cpu-burst=5) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1390, process idx=5 , remaining cpu-burst=4) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1391, process idx=5 , remaining cpu-burst=3) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1392, process idx=5 , remaining cpu-burst=2) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1393, process idx=5 , remaining cpu-burst=1) run-queue [6 7 8 9 0 1 2 3 4], wait-queue []
(at time 1394, process idx=6 , remaining cpu-burst=18) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=7)]
(at time 1395, process idx=6 , remaining cpu-burst=17) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=6)]
(at time 1396, process idx=6 , remaining cpu-burst=16) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=5)]
(at time 1397, process idx=6 , remaining cpu-burst=15) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=4)]
(at time 1398, process idx=6 , remaining cpu-burst=14) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=3)]
(at time 1399, process idx=6 , remaining cpu-burst=13) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=2)]
(at time 1400, process idx=6 , remaining cpu-burst=12) run-queue [7 8 9 0 1 2 3 4], wait-queue [5(io=1)]
(at time 1401, process idx=6 , remaining cpu-burst=11) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1402, process idx=6 , remaining cpu-burst=10) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1403, process idx=6 , remaining cpu-burst=9) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1404, process idx=6 , remaining cpu-burst=8) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1405, process idx=6 , remaining cpu-burst=7) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1406, process idx=6 , remaining cpu-burst=6) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1407, process idx=6 , remaining cpu-burst=5) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1408, process idx=6 , remaining cpu-burst=4) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1409, process idx=6 , remaining cpu-burst=3) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1410, process idx=6 , remaining cpu-burst=2) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1411, process idx=6 , remaining cpu-burst=1) run-queue [7 8 9 0 1 2 3 4 5], wait-queue []
(at time 1412, process idx=7 , remaining cpu-burst=18) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=5)]
(at time 1413, process idx=7 , remaining cpu-burst=17) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=4)]
(at time 1414, process idx=7 , remaining cpu-burst=16) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=3)]
(at time 1415, process idx=7 , remaining cpu-burst=15) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=2)]
(at time 1416, process idx=7 , remaining cpu-burst=14) run-queue [8 9 0 1 2 3 4 5], wait-queue [6(io=1)]
(at time 1417, process idx=7 , remaining cpu-burst=13) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1418, process idx=7 , remaining cpu-burst=12) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1419, process idx=7 , remaining cpu-burst=11) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1420, process idx=7 , remaining cpu-burst=10) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1421, process idx=7 , remaining cpu-burst=9) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1422, process idx=7 , remaining cpu-burst=8) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1423, process idx=7 , remaining cpu-burst=7) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1424, process idx=7 , remaining cpu-burst=6) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
(at time 1425, process idx=7 , remaining cpu-burst=5) run-queue [8 9 0 1 2 3 4 5 6], wait-queue []
